mode,ratio,ratio3,"""-1.0~1.0""",,"""0~360""","""0<scale"""
126,41,2,-0.07,-0.16,70,0.83
127,42,2,-0.14,0.12,314,1.03
128,42,2,-0.06,0.04,323,1.08
129,42,2,-0.1,-0.02,273,1.08
130,43,2,0.22,-0.25,235,0.9
131,43,2,-0.17,-0.14,26,0.83
132,43,2,0.03,0.09,343,0.92
133,44,2,0.16,-0.25,301,0.99
134,44,2,0.24,-0.03,140,1.06
135,44,2,-0.17,0.16,301,1.03
136,45,2,-0.17,-0.14,277,1.05
137,45,2,-0.07,0.18,69,1.03
138,45,2,0.15,-0.18,226,0.94
139,46,2,-0.08,-0.05,234,0.89
140,46,2,0.16,0.24,47,0.95
141,46,2,-0.23,0.21,353,1.07
142,47,2,0.06,0.19,163,1.1
143,47,2,0.24,0.03,298,0.84
144,47,2,0.1,0.14,100,0.75
145,48,2,-0.2,-0.04,206,0.88
146,48,2,0,0.09,27,0.98
147,48,2,0.24,0.09,179,1.1
148,49,2,-0.15,-0.22,16,1.07
149,49,2,0.07,-0.04,257,0.84
150,49,2,-0.21,0.19,5,0.93
151,50,2,0.08,-0.19,228,0.97
152,50,2,-0.22,-0.23,159,1.04
153,50,2,-0.17,-0.02,259,1.02
154,51,2,-0.16,-0.2,81,0.97
155,51,2,0.06,-0.12,149,0.77
156,51,2,0.02,-0.14,135,0.99
157,52,2,-0.22,-0.21,269,0.94
158,52,2,-0.17,0.12,28,0.83
159,52,2,-0.22,0.16,29,0.8
160,53,2,-0.08,0.05,34,0.89
161,53,2,-0.22,-0.19,250,0.78
162,53,2,0.09,-0.13,232,0.84
163,54,2,-0.09,-0.16,83,1.09
164,54,2,-0.15,0.19,285,0.87
165,54,2,0.03,0.01,287,0.87
166,55,2,-0.1,-0.01,48,0.87
167,55,2,-0.08,0.08,212,1.01
168,55,2,-0.25,0.21,154,1.04
169,56,2,-0.17,-0.02,44,0.84
170,56,2,-0.17,-0.16,99,0.85
171,56,2,0.08,-0.02,143,0.81
172,57,2,0.24,-0.03,157,1.01
173,57,2,0.02,-0.17,50,0.85
174,57,2,-0.03,-0.24,117,0.95
175,58,2,-0.06,0.1,226,1.03
176,58,2,0.18,0.24,202,0.8
177,58,2,0.19,0.11,121,0.94
178,59,2,0.2,0.03,34,0.85
179,59,2,0.15,-0.24,239,0.92
180,59,2,0.11,0.17,272,1.07
